,tf,fid,nu1,nu2,A1,A2,B1,B2
47,0.48000000000000004,0.9921321855496802,0.41139529343319503,0.2942810616332321,-742.7837951594123,-378.10480337356523,-16316.89511081043,445.62379078314194
48,0.49,0.9910795766401348,0.7175984357791293,0.15883508040861494,-8933.974218647025,2228.3009583880726,-467.7327036017278,-3425.5440355146693
49,0.5,0.9622303941937572,0.2604661158795962,0.8006758796425839,-1212.3319630224364,13972.895404129651,-2546.796479749088,-1053.682009829292
50,0.51,0.9932949524315835,0.24928884820508945,0.2830989385462205,-4614.486091862826,-3546.8351904968945,-17.883653481366306,-11317.858219855867
51,0.52,0.9963707480936022,0.8118228874357519,0.5352627712421104,-33812.35484228132,10957.23929684555,2486.290954025737,-24727.236342108212
52,0.53,0.9971737363290687,0.7330689371087015,0.7138901623261412,-15773.23024833972,-8702.489570073682,-5817.6847785471555,-9445.459929016453
53,0.54,0.9930952890514522,0.06169245446073157,0.41464661738478037,-1497.4647224009166,-7100.304143165199,-749.6085082178145,12.479240391648105
54,0.55,0.9934642331273524,0.751892232448714,0.14523270709009473,-6970.905071932406,336.91548274413793,4.598050752218315,76.27587715189726
55,0.56,0.9953187308124116,0.6311268185457061,0.15014097339365384,-1580.387938235114,2052.551748508549,-1970.819348104544,-7010.537075306276
56,0.5700000000000001,0.997713499388328,0.36706346757723296,0.7719697665845925,2645.0901140083297,-6029.4320433401,-14772.433406391738,-2433.418251888537
57,0.5800000000000001,0.9975053157664426,0.6733400146383451,0.9045734728301513,-6445.172454514691,-4195.9926833369245,-3907.01945399603,3722.139059118668
